taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_orientalis	33.9	38
Paraneuretus_dubovikoffi	33.9	38
Miomyrmex_impactus	33.9	37.2
Acanthostichus_hispaniolicus	13.82	20.44
Pseudectatomma_eocenica	40.4	48.6
Formicium_mirabile	41.3	47.8
Camponotites_steinbachi	2.588	3.6
Avitomyrmex_mastax	47.8	56
Bilobomyrma_ukrainica	33.9	38
Ponera_elegantissima	23.03	28.4
Proceratium_petrosum	33.9	38
Pseudomyrmex_saxulum	41.3	47.8
Haidomyrmex_scimitarus	93.5	99.6
Brownimecia_clavata	92	92
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
