taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_orientalis	33.9	38
Paraneuretus_dubovikoffi	33.9	38
Alloiomma_changweiensis	15.97	20.44
Parasyscia_conservata	0.0	0.0117
Gnamptogenys_pristina	13.82	20.44
Formicium_brodiei	33.9	38
Gesomyrmex_pulcher	40.4	48.6
Prionomyrmex_janzeni	33.9	38
Cyphomyrmex_maya	15.97	23.03
Ponerites_gracilior	11.607999999999999	12.7
Proceratium_dominicanum	13.82	20.44
Pseudomyrmex_saxulum	41.3	47.8
Zigrasimecia_tonsora	93.5	99.6
Brownimecia_clavata	92	92
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
