taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Stigmatomma_groehni	33.9	38
Mianeuretus_mirabilis	33.9	37.2
Dolichoderus_pinguis	33.9	38
Acanthostichus_hispaniolicus	13.82	20.44
Ectatomma_gracile	5.332999999999999	11.608
Formicium_mirabile	41.3	47.8
Oecophylla_praeclara	28.4	33.9
Prionomyrmex_wappleri	23.03	28.4
Solenopsis_maxima	28.4	33.9
Anochetus_ambiguus	13.82	20.44
Proceratium_petrosum	33.9	38
Pseudomyrmex_saxulum	41.3	47.8
Ceratomyrmex_ellenbergeri	98.2	99.4
Brownimecia_clavata	92	92
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
